case_id,activity,event_index,station,timestamp_raw,i1_pos_switch,i2_pos_switch,i5_light_barrier,m1_speed,o7_valve,o8_compressor,i3_pos_switch,i4_light_barrier,m2_speed,m3_speed,i7_light_barrier,o7_compressor,o8_valve,i1_light_barrier,i3_light_barrier,i6_light_barrier,i8_light_barrier,o5_valve,o6_valve,i2_light_barrier,i5_pos_switch,i6_pos_switch,i7_pos_switch,i8_pos_switch,m4_speed,i4_pos_switch,timestamp
case_Pickup-move-oven_001,Pickup-move-oven,11,VGR_1,2023-03-20T11:08:22Z,0.0,0.0,,0.0,,,0.0,1.0,-512.0,0.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:22+00:00
case_Pickup-move-oven_001,Pickup-move-oven,12,VGR_1,2023-03-20T11:08:24Z,0.0,0.0,,0.0,,,0.0,1.0,-512.0,0.0,1.0,512.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:24+00:00
case_Pickup-move-oven_001,Pickup-move-oven,13,VGR_1,2023-03-20T11:08:26Z,0.0,0.0,,0.0,,,0.0,1.0,512.0,0.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:26+00:00
case_Pickup-move-oven_001,Pickup-move-oven,14,VGR_1,2023-03-20T11:08:28Z,0.0,0.0,,0.0,,,0.0,1.0,512.0,0.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:28+00:00
case_Pickup-move-oven_001,Pickup-move-oven,15,VGR_1,2023-03-20T11:08:30Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,512.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:30+00:00
case_Pickup-move-oven_001,Pickup-move-oven,16,VGR_1,2023-03-20T11:08:32Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,512.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:32+00:00
case_Pickup-move-oven_001,Pickup-move-oven,17,VGR_1,2023-03-20T11:08:34Z,0.0,1.0,,0.0,,,0.0,1.0,0.0,512.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:34+00:00
case_Pickup-move-oven_001,Pickup-move-oven,18,VGR_1,2023-03-20T11:08:36Z,0.0,1.0,,512.0,,,1.0,1.0,0.0,0.0,1.0,0.0,512.0,,,,,,,,,,,,,,2023-03-20 11:08:36+00:00
case_Sort_001,Sort,1,SM_1,2023-03-20T10:12:06Z,,,,0.0,0.0,0.0,,,,,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:06+00:00
case_Sort_001,Sort,2,SM_1,2023-03-20T10:12:08Z,,,,-512.0,0.0,0.0,,,,,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:08+00:00
